307660,1,ELIAS MANOEL 
270302,1,CAMERON HARPER
308083,1,SERGE NGOMA
252817,1,ZACHARY RYAN
248276,3,ALEXANDER FREEMAN
288208,2,BRANDON HACKENBERG
316325,3,THOMAS WILLIAMS
181558,2,WILDER CARTAGENA
250448,2,IVÁN ANGULO
291218,2,CÉSAR ARAUJO
67518,2,FACUNDO TORRES
296749,1,NICHOLAS GIOACCHINI
302234,1,ERCAN KARA
313025,2,RICHARD ODADA
203926,1,MIKKEL UHRE
333746,1,CHRIS DONOVAN
333735,3,JUSTIN RASMUSSEN
302672,3,JUAN MOSQUERA
290715,2,DAVID AYALA
336548,1,DIEGO GUTIÉRREZ
303077,1,TEGA IKOBA
273399,1,NATHAN FOGAÇA
242597,2,JUSTIN VOM STEEG
147197,3,BRYAN OVIEDO
308481,2,JAZIEL OROZCO
148356,2,DIEGO LUNA
308969,2,JASPER LÖEFFELSEND
265977,2,BRAIAN OJEDA
202714,1,SERGIO CÓRDOVA
177219,1,JEFFERSON SAVARINO
333728,2,OSKAR AGREN
236882,3,RODRIGUES 
156342,3,MIGUEL TRAUCO
298687,3,CASEY WALLS
333752,2,NIKO TSAKIRIS
333672,1,WILLIAM RICHMOND
300420,1,OUSSENI BOUDA
254383,3,JACKSON RAGEN
259111,2,DYLAN TEVES
303521,3,ROBERT VOLODER
259925,3,LOGAN NDENBE
286760,2,JACOB DAVIS
199926,2,ERIK THOMMY
313069,1,WILLIAM AGADA
305498,1,MARINOS TZIONIS
334716,3,LUKAS MACNAUGHTON
253002,2,KADIN CHUNG
104369,2,DOMENICO CRISCITO
271816,2,LUCA PETRASSO
319389,2,KOSI THOMPSON
317468,2,THEMI ANTONOGLOU
152732,1,JESÚS JIMÉNEZ
180956,1,FEDERICO BERNARDESCHI
139028,1,LORENZO INSIGNE
298071,1,DEANDRE KERR
319427,1,HUGO MBONGUE
345173,2,CHRISTOPHER LEE
340228,3,ALI AHMED
318352,3,MATTEO CAMPAGNA
203868,2,ALESSANDRO SCHÖPF
202501,2,ADRIÁN CUBAS
334361,2,EASTON ONGARO
208341,1,SIMON BECHER
298073,2,EMILIANO BRIENZA
164649,2,CODY CROPPER
215441,3,LUIS ABRAM
255802,2,TRISTAN MUYUMBA NKITA
221128,2,SABA LOBJANIDZE
219188,2,XANDE SILVA
304153,2,AJANI FORTUNE
284636,2,NICOLAS FIRMINO
239525,1,GIORGOS GIAKOUMAKIS
303508,1,TYLER WOLFF
197351,1,JAMAL THIARE
