,PlayerID,PlayerTypeID,ClubID,DateStarted
14594,256518,2,17,2021-01-01
14610,75577,2,1,2021-01-01
14616,75577,2,17,2021-01-01
14692,223034,2,17,2021-01-01
14760,174548,2,17,2021-01-01
14857,294219,2,17,2021-01-01
14861,233041,2,17,2021-01-01
14932,116825,2,17,2021-01-01
14990,253255,2,17,2021-01-01
15036,254292,2,17,2021-01-01
15098,8894,2,17,2021-01-01
15155,8894,2,18,2021-01-01
15189,257062,1,17,2021-01-01
15197,254285,1,17,2021-01-01
15234,254285,1,11,2021-01-01
15249,146067,1,17,2021-01-01
15280,146067,1,16,2021-01-01
15296,156239,2,28,2021-01-01
15312,156239,2,17,2021-01-01
15373,156153,2,17,2021-01-01
15418,183796,3,16,2021-01-01
15515,132237,3,8,2021-01-01
15523,132237,3,16,2021-01-01
15577,132237,3,28,2021-01-01
15605,294222,3,16,2021-01-01
15669,241486,3,16,2021-01-01
15696,241486,3,6,2021-01-01
15709,241486,3,13,2021-01-01
15737,245451,3,16,2021-01-01
15816,257193,3,24,2021-01-01
15823,257193,3,27,2021-01-01
15836,257193,3,16,2021-01-01
15876,249985,3,16,2021-01-01
15968,146042,2,16,2021-01-01
16024,205386,2,16,2021-01-01
16066,216609,2,16,2021-01-01
16157,152168,2,16,2021-01-01
16251,191693,2,16,2021-01-01
16312,316383,2,16,2021-01-01
16344,201350,2,16,2021-01-01
16406,117830,1,16,2021-01-01
16466,267113,2,16,2021-01-01
16501,193898,2,14,2021-01-01
16508,193898,2,12,2021-01-01
16509,193898,2,19,2021-01-01
16526,299185,1,16,2021-01-01
16555,97401,2,16,2021-01-01
16597,164106,2,1,2021-01-01
16603,164106,2,16,2021-01-01
16604,164106,2,13,2021-01-01
16620,164106,2,15,2021-01-01
16631,252816,3,19,2021-01-01
16668,146027,3,19,2021-01-01
16698,127512,2,12,2021-01-01
16700,127512,2,19,2021-01-01
16772,144989,3,19,2021-01-01
16826,271075,3,5,2021-01-01
16856,271075,3,19,2021-01-01
16906,297380,3,19,2021-01-01
16982,317974,2,19,2021-01-01
17016,153289,2,25,2021-01-01
17021,153289,2,19,2021-01-01
17079,70624,2,19,2021-01-01
17135,297381,2,19,2021-01-01
17204,192048,2,19,2021-01-01
17231,285757,2,19,2021-01-01
17278,268192,2,19,2021-01-01
17358,285383,2,19,2021-01-01
17415,144012,1,19,2021-01-01
17446,148320,1,24,2021-01-01
17467,148320,1,19,2021-01-01
17483,83178,1,19,2021-01-01
17563,288930,1,19,2021-01-01
17629,235594,2,19,2021-01-01
17644,182014,3,18,2021-01-01
17710,252481,3,18,2021-01-01
17767,242942,3,18,2021-01-01
17814,242942,3,17,2021-01-01
17830,230822,3,18,2021-01-01
17933,270302,3,18,2021-01-01
17985,201103,3,12,2021-01-01
18015,201103,3,18,2021-01-01
18051,279290,3,18,2021-01-01
18142,283228,2,18,2021-01-01
18222,181028,2,18,2021-01-01
18265,181028,2,13,2021-01-01
18297,260887,2,17,2021-01-01
18305,260887,2,18,2021-01-01
18363,315924,2,18,2021-01-01
18413,252818,2,7,2021-01-01
18417,252818,2,18,2021-01-01
18479,271244,2,18,2021-01-01
18544,302991,2,14,2021-01-01
18548,302991,2,18,2021-01-01
18577,258065,2,18,2021-01-01
18623,249926,1,3,2021-01-01
18625,249926,1,18,2021-01-01
18664,251864,3,15,2021-01-01
18672,251864,3,9,2021-01-01
18690,251864,3,20,2021-01-01
18743,68802,3,20,2021-01-01
18787,147256,3,20,2021-01-01
18876,255476,3,20,2021-01-01
18960,236641,3,20,2021-01-01
19037,196842,3,20,2021-01-01
19107,17478,3,20,2021-01-01
19152,140468,2,20,2021-01-01
19237,203304,2,6,2021-01-01
19243,203304,2,20,2021-01-01
19306,259199,2,19,2021-01-01
19319,259199,2,21,2021-01-01
19334,259199,2,20,2021-01-01
19366,228005,2,20,2021-01-01
19382,228005,2,1,2021-01-01
19400,249705,2,20,2021-01-01
19432,93011,1,20,2021-01-01
19453,201478,2,20,2021-01-01
19476,273769,1,20,2021-01-01
19509,252812,3,21,2021-01-01
19579,233813,3,21,2021-01-01
19685,234962,3,21,2021-01-01
19794,246855,3,21,2021-01-01
19885,286778,3,21,2021-01-01
19963,261317,3,21,2021-01-01
20065,304135,3,2,2021-01-01
20073,304135,3,21,2021-01-01
20096,257844,2,21,2021-01-01
20184,287014,2,21,2021-01-01
20266,134066,2,21,2021-01-01
20352,286777,2,21,2021-01-01
20370,303512,2,21,2021-01-01
20431,271536,2,21,2021-01-01
20477,304129,2,21,2021-01-01
20506,307491,2,21,2021-01-01
20594,304130,2,21,2021-01-01
20645,262566,1,21,2021-01-01
20708,262566,1,13,2021-01-01
20721,227598,1,18,2021-01-01
20732,227598,1,21,2021-01-01
20750,181735,2,22,2021-01-01
20808,235873,3,22,2021-01-01
20890,188305,3,22,2021-01-01
20983,302907,3,22,2021-01-01
21058,159461,3,6,2021-01-01
21088,159461,3,22,2021-01-01
21136,288792,2,22,2021-01-01
21199,98448,3,22,2021-01-01
21276,76914,2,22,2021-01-01
21316,231057,2,22,2021-01-01
21355,201102,2,22,2021-01-01
21376,71042,2,22,2021-01-01
21468,228578,2,22,2021-01-01
