MatchClubPlayerID,PlayerTypeID,Goals,Assists,Fouls,Offsides,Shots,ShotsOnTarget,YellowCards,RedCards
209,1,0,0,0,0,0,0,0,0
210,3,0,0,0,0,0,0,0,0
211,2,0,0,0,0,0,0,0,0
212,1,0,0,0,0,0,0,0,0
214,3,0,0,0,0,0,0,0,0
218,3,0,0,1,0,0,0,0,0
219,3,0,0,1,0,1,0,1,0
220,3,0,0,2,0,0,0,0,0
221,2,0,0,1,0,1,1,0,0
222,2,0,0,2,0,0,0,1,0
223,1,0,0,0,0,1,1,0,0
224,3,0,0,2,0,0,0,0,0
225,1,1,0,2,0,3,2,0,0
226,2,0,0,0,0,2,1,1,0
227,1,0,0,0,1,7,3,0,0
229,3,0,0,1,1,0,0,0,0
230,3,0,0,1,0,2,0,0,0
231,3,0,0,2,0,2,0,0,0
232,3,0,0,0,0,0,0,0,0
233,2,0,0,0,0,3,2,0,0
234,2,0,0,5,0,0,0,1,0
235,2,0,0,0,0,0,0,0,0
236,1,0,0,1,0,2,2,0,0
237,1,0,0,1,0,0,0,0,0
238,2,0,0,3,0,2,0,1,0
239,1,0,0,0,0,0,0,0,0
241,2,0,0,0,0,0,0,0,0
242,1,0,0,0,0,0,0,0,0
243,2,0,0,0,0,0,0,0,0
244,3,0,0,0,0,0,0,0,0
247,3,0,0,3,0,0,0,0,0
248,3,0,0,1,0,0,0,0,0
249,3,0,0,0,0,0,0,0,0
250,3,0,0,3,0,1,0,0,0
251,2,0,0,0,0,0,0,0,0
252,2,0,0,1,0,0,0,0,0
253,2,0,0,2,0,2,1,1,0
254,1,0,0,1,0,2,1,0,0
255,1,0,0,0,0,1,0,0,0
256,1,0,0,1,0,3,2,0,0
258,3,0,1,1,0,0,0,0,0
259,2,0,0,0,0,0,0,0,0
260,3,0,1,3,0,0,0,0,0
261,3,0,0,0,0,0,0,0,0
262,2,0,0,3,0,0,0,0,0
263,2,0,0,0,0,0,0,0,0
264,2,0,0,1,0,0,0,0,0
265,1,2,1,3,0,7,4,0,0
266,2,0,0,0,0,2,1,0,0
267,2,1,0,0,0,3,2,1,0
268,2,0,0,0,0,0,0,0,0
270,3,0,0,0,0,0,0,0,0
271,3,0,0,0,0,0,0,0,0
272,3,0,0,0,0,0,0,0,0
274,3,0,0,0,0,0,0,0,0
